Repeat,FitnessEvaluateCountReachTarget
0,2639
Repeat,FitnessEvaluateCountReachTarget
1,2319
Repeat,FitnessEvaluateCountReachTarget
2,2559
Repeat,FitnessEvaluateCountReachTarget
3,2239
Repeat,FitnessEvaluateCountReachTarget
4,3039
Repeat,FitnessEvaluateCountReachTarget
5,2079
Repeat,FitnessEvaluateCountReachTarget
6,2079
Repeat,FitnessEvaluateCountReachTarget
7,2479
Repeat,FitnessEvaluateCountReachTarget
8,2479
Repeat,FitnessEvaluateCountReachTarget
9,2639
Repeat,FitnessEvaluateCountReachTarget
10,3039
Repeat,FitnessEvaluateCountReachTarget
11,2239
Repeat,FitnessEvaluateCountReachTarget
12,2399
Repeat,FitnessEvaluateCountReachTarget
13,2158
Repeat,FitnessEvaluateCountReachTarget
14,3359
Repeat,FitnessEvaluateCountReachTarget
15,3198
Repeat,FitnessEvaluateCountReachTarget
16,2638
Repeat,FitnessEvaluateCountReachTarget
17,2957
Repeat,FitnessEvaluateCountReachTarget
18,2959
Repeat,FitnessEvaluateCountReachTarget
19,2719
Repeat,FitnessEvaluateCountReachTarget
20,2719
Repeat,FitnessEvaluateCountReachTarget
21,1918
Repeat,FitnessEvaluateCountReachTarget
22,2718
Repeat,FitnessEvaluateCountReachTarget
23,2956
Repeat,FitnessEvaluateCountReachTarget
24,2958
Repeat,FitnessEvaluateCountReachTarget
25,2079
Repeat,FitnessEvaluateCountReachTarget
26,2557
Repeat,FitnessEvaluateCountReachTarget
27,2799
Repeat,FitnessEvaluateCountReachTarget
28,2399
Repeat,FitnessEvaluateCountReachTarget
29,2959
Repeat,FitnessEvaluateCountReachTarget
30,3118
Repeat,FitnessEvaluateCountReachTarget
31,2399
Repeat,FitnessEvaluateCountReachTarget
32,2159
Repeat,FitnessEvaluateCountReachTarget
33,2639
Repeat,FitnessEvaluateCountReachTarget
34,3119
Repeat,FitnessEvaluateCountReachTarget
35,2878
Repeat,FitnessEvaluateCountReachTarget
36,2397
Repeat,FitnessEvaluateCountReachTarget
37,2319
Repeat,FitnessEvaluateCountReachTarget
38,2398
Repeat,FitnessEvaluateCountReachTarget
39,2959
Repeat,FitnessEvaluateCountReachTarget
40,1999
Repeat,FitnessEvaluateCountReachTarget
41,1919
Repeat,FitnessEvaluateCountReachTarget
42,3039
Repeat,FitnessEvaluateCountReachTarget
43,3119
Repeat,FitnessEvaluateCountReachTarget
44,2796
Repeat,FitnessEvaluateCountReachTarget
45,2399
Repeat,FitnessEvaluateCountReachTarget
46,2959
Repeat,FitnessEvaluateCountReachTarget
47,1919
Repeat,FitnessEvaluateCountReachTarget
48,3118
Repeat,FitnessEvaluateCountReachTarget
49,2878
Repeat,FitnessEvaluateCountReachTarget
50,2799
Repeat,FitnessEvaluateCountReachTarget
51,2159
Repeat,FitnessEvaluateCountReachTarget
52,3119
Repeat,FitnessEvaluateCountReachTarget
53,1919
Repeat,FitnessEvaluateCountReachTarget
54,2719
Repeat,FitnessEvaluateCountReachTarget
55,3119
Repeat,FitnessEvaluateCountReachTarget
56,2958
Repeat,FitnessEvaluateCountReachTarget
57,2639
Repeat,FitnessEvaluateCountReachTarget
58,2639
Repeat,FitnessEvaluateCountReachTarget
59,3039
Repeat,FitnessEvaluateCountReachTarget
60,1999
Repeat,FitnessEvaluateCountReachTarget
61,2639
Repeat,FitnessEvaluateCountReachTarget
62,2957
Repeat,FitnessEvaluateCountReachTarget
63,2879
Repeat,FitnessEvaluateCountReachTarget
64,2479
Repeat,FitnessEvaluateCountReachTarget
65,2398
Repeat,FitnessEvaluateCountReachTarget
66,3039
Repeat,FitnessEvaluateCountReachTarget
67,2239
Repeat,FitnessEvaluateCountReachTarget
68,3678
Repeat,FitnessEvaluateCountReachTarget
69,2798
Repeat,FitnessEvaluateCountReachTarget
70,1999
Repeat,FitnessEvaluateCountReachTarget
71,2159
Repeat,FitnessEvaluateCountReachTarget
72,3119
Repeat,FitnessEvaluateCountReachTarget
73,3039
Repeat,FitnessEvaluateCountReachTarget
74,2719
Repeat,FitnessEvaluateCountReachTarget
75,2798
Repeat,FitnessEvaluateCountReachTarget
76,3279
Repeat,FitnessEvaluateCountReachTarget
77,2479
Repeat,FitnessEvaluateCountReachTarget
78,2879
Repeat,FitnessEvaluateCountReachTarget
79,2319
Repeat,FitnessEvaluateCountReachTarget
80,3039
Repeat,FitnessEvaluateCountReachTarget
81,2719
Repeat,FitnessEvaluateCountReachTarget
82,2957
Repeat,FitnessEvaluateCountReachTarget
83,3279
Repeat,FitnessEvaluateCountReachTarget
84,2879
Repeat,FitnessEvaluateCountReachTarget
85,2639
Repeat,FitnessEvaluateCountReachTarget
86,2718
Repeat,FitnessEvaluateCountReachTarget
87,2638
Repeat,FitnessEvaluateCountReachTarget
88,2639
Repeat,FitnessEvaluateCountReachTarget
89,1999
Repeat,FitnessEvaluateCountReachTarget
90,2639
Repeat,FitnessEvaluateCountReachTarget
91,2798
Repeat,FitnessEvaluateCountReachTarget
92,2399
Repeat,FitnessEvaluateCountReachTarget
93,2078
Repeat,FitnessEvaluateCountReachTarget
94,2079
Repeat,FitnessEvaluateCountReachTarget
95,2319
Repeat,FitnessEvaluateCountReachTarget
96,2957
Repeat,FitnessEvaluateCountReachTarget
97,3039
Repeat,FitnessEvaluateCountReachTarget
98,3519
Repeat,FitnessEvaluateCountReachTarget
99,1839
