Repeat,FitnessEvaluateCountReachTarget
0,15030
Repeat,FitnessEvaluateCountReachTarget
1,15030
Repeat,FitnessEvaluateCountReachTarget
2,15030
Repeat,FitnessEvaluateCountReachTarget
3,15030
Repeat,FitnessEvaluateCountReachTarget
4,15030
Repeat,FitnessEvaluateCountReachTarget
5,419
Repeat,FitnessEvaluateCountReachTarget
6,15030
Repeat,FitnessEvaluateCountReachTarget
7,659
Repeat,FitnessEvaluateCountReachTarget
8,8399
Repeat,FitnessEvaluateCountReachTarget
9,4229
Repeat,FitnessEvaluateCountReachTarget
10,209
Repeat,FitnessEvaluateCountReachTarget
11,15030
Repeat,FitnessEvaluateCountReachTarget
12,179
Repeat,FitnessEvaluateCountReachTarget
13,15030
Repeat,FitnessEvaluateCountReachTarget
14,15030
Repeat,FitnessEvaluateCountReachTarget
15,479
Repeat,FitnessEvaluateCountReachTarget
16,299
Repeat,FitnessEvaluateCountReachTarget
17,15030
Repeat,FitnessEvaluateCountReachTarget
18,15030
Repeat,FitnessEvaluateCountReachTarget
19,299
Repeat,FitnessEvaluateCountReachTarget
20,359
Repeat,FitnessEvaluateCountReachTarget
21,15030
Repeat,FitnessEvaluateCountReachTarget
22,15030
Repeat,FitnessEvaluateCountReachTarget
23,15030
Repeat,FitnessEvaluateCountReachTarget
24,599
Repeat,FitnessEvaluateCountReachTarget
25,15030
Repeat,FitnessEvaluateCountReachTarget
26,15030
Repeat,FitnessEvaluateCountReachTarget
27,15030
Repeat,FitnessEvaluateCountReachTarget
28,15030
Repeat,FitnessEvaluateCountReachTarget
29,419
Repeat,FitnessEvaluateCountReachTarget
30,15030
Repeat,FitnessEvaluateCountReachTarget
31,15030
Repeat,FitnessEvaluateCountReachTarget
32,1379
Repeat,FitnessEvaluateCountReachTarget
33,478
Repeat,FitnessEvaluateCountReachTarget
34,328
Repeat,FitnessEvaluateCountReachTarget
35,15030
Repeat,FitnessEvaluateCountReachTarget
36,479
Repeat,FitnessEvaluateCountReachTarget
37,15030
Repeat,FitnessEvaluateCountReachTarget
38,15030
Repeat,FitnessEvaluateCountReachTarget
39,299
Repeat,FitnessEvaluateCountReachTarget
40,659
Repeat,FitnessEvaluateCountReachTarget
41,15030
Repeat,FitnessEvaluateCountReachTarget
42,389
Repeat,FitnessEvaluateCountReachTarget
43,419
Repeat,FitnessEvaluateCountReachTarget
44,15030
Repeat,FitnessEvaluateCountReachTarget
45,15030
Repeat,FitnessEvaluateCountReachTarget
46,15030
Repeat,FitnessEvaluateCountReachTarget
47,10439
Repeat,FitnessEvaluateCountReachTarget
48,1709
Repeat,FitnessEvaluateCountReachTarget
49,4048
Repeat,FitnessEvaluateCountReachTarget
50,7769
Repeat,FitnessEvaluateCountReachTarget
51,15030
Repeat,FitnessEvaluateCountReachTarget
52,389
Repeat,FitnessEvaluateCountReachTarget
53,15030
Repeat,FitnessEvaluateCountReachTarget
54,5909
Repeat,FitnessEvaluateCountReachTarget
55,1499
Repeat,FitnessEvaluateCountReachTarget
56,15030
Repeat,FitnessEvaluateCountReachTarget
57,15030
Repeat,FitnessEvaluateCountReachTarget
58,299
Repeat,FitnessEvaluateCountReachTarget
59,3989
Repeat,FitnessEvaluateCountReachTarget
60,15030
Repeat,FitnessEvaluateCountReachTarget
61,359
Repeat,FitnessEvaluateCountReachTarget
62,15030
Repeat,FitnessEvaluateCountReachTarget
63,15030
Repeat,FitnessEvaluateCountReachTarget
64,15030
Repeat,FitnessEvaluateCountReachTarget
65,15030
Repeat,FitnessEvaluateCountReachTarget
66,358
Repeat,FitnessEvaluateCountReachTarget
67,15030
Repeat,FitnessEvaluateCountReachTarget
68,389
Repeat,FitnessEvaluateCountReachTarget
69,15030
Repeat,FitnessEvaluateCountReachTarget
70,389
Repeat,FitnessEvaluateCountReachTarget
71,15030
Repeat,FitnessEvaluateCountReachTarget
72,15030
Repeat,FitnessEvaluateCountReachTarget
73,15030
Repeat,FitnessEvaluateCountReachTarget
74,389
Repeat,FitnessEvaluateCountReachTarget
75,2008
Repeat,FitnessEvaluateCountReachTarget
76,15030
Repeat,FitnessEvaluateCountReachTarget
77,15030
Repeat,FitnessEvaluateCountReachTarget
78,15030
Repeat,FitnessEvaluateCountReachTarget
79,15030
Repeat,FitnessEvaluateCountReachTarget
80,539
Repeat,FitnessEvaluateCountReachTarget
81,15030
Repeat,FitnessEvaluateCountReachTarget
82,359
Repeat,FitnessEvaluateCountReachTarget
83,718
Repeat,FitnessEvaluateCountReachTarget
84,15030
Repeat,FitnessEvaluateCountReachTarget
85,15030
Repeat,FitnessEvaluateCountReachTarget
86,15030
Repeat,FitnessEvaluateCountReachTarget
87,15030
Repeat,FitnessEvaluateCountReachTarget
88,359
Repeat,FitnessEvaluateCountReachTarget
89,15030
Repeat,FitnessEvaluateCountReachTarget
90,15030
Repeat,FitnessEvaluateCountReachTarget
91,1108
Repeat,FitnessEvaluateCountReachTarget
92,359
Repeat,FitnessEvaluateCountReachTarget
93,719
Repeat,FitnessEvaluateCountReachTarget
94,15030
Repeat,FitnessEvaluateCountReachTarget
95,15030
Repeat,FitnessEvaluateCountReachTarget
96,6869
Repeat,FitnessEvaluateCountReachTarget
97,15030
Repeat,FitnessEvaluateCountReachTarget
98,15030
Repeat,FitnessEvaluateCountReachTarget
99,449
