Repeat,FitnessEvaluateCountReachTarget
0,1199
Repeat,FitnessEvaluateCountReachTarget
1,1439
Repeat,FitnessEvaluateCountReachTarget
2,1198
Repeat,FitnessEvaluateCountReachTarget
3,1279
Repeat,FitnessEvaluateCountReachTarget
4,1279
Repeat,FitnessEvaluateCountReachTarget
5,1278
Repeat,FitnessEvaluateCountReachTarget
6,1519
Repeat,FitnessEvaluateCountReachTarget
7,1678
Repeat,FitnessEvaluateCountReachTarget
8,1599
Repeat,FitnessEvaluateCountReachTarget
9,1279
Repeat,FitnessEvaluateCountReachTarget
10,1358
Repeat,FitnessEvaluateCountReachTarget
11,1279
Repeat,FitnessEvaluateCountReachTarget
12,1119
Repeat,FitnessEvaluateCountReachTarget
13,1199
Repeat,FitnessEvaluateCountReachTarget
14,1199
Repeat,FitnessEvaluateCountReachTarget
15,1279
Repeat,FitnessEvaluateCountReachTarget
16,1359
Repeat,FitnessEvaluateCountReachTarget
17,1438
Repeat,FitnessEvaluateCountReachTarget
18,1199
Repeat,FitnessEvaluateCountReachTarget
19,1838
Repeat,FitnessEvaluateCountReachTarget
20,1274
Repeat,FitnessEvaluateCountReachTarget
21,1598
Repeat,FitnessEvaluateCountReachTarget
22,1359
Repeat,FitnessEvaluateCountReachTarget
23,1278
Repeat,FitnessEvaluateCountReachTarget
24,1119
Repeat,FitnessEvaluateCountReachTarget
25,1517
Repeat,FitnessEvaluateCountReachTarget
26,1357
Repeat,FitnessEvaluateCountReachTarget
27,1275
Repeat,FitnessEvaluateCountReachTarget
28,879
Repeat,FitnessEvaluateCountReachTarget
29,1039
Repeat,FitnessEvaluateCountReachTarget
30,1359
Repeat,FitnessEvaluateCountReachTarget
31,959
Repeat,FitnessEvaluateCountReachTarget
32,1678
Repeat,FitnessEvaluateCountReachTarget
33,1439
Repeat,FitnessEvaluateCountReachTarget
34,1759
Repeat,FitnessEvaluateCountReachTarget
35,1596
Repeat,FitnessEvaluateCountReachTarget
36,1437
Repeat,FitnessEvaluateCountReachTarget
37,1519
Repeat,FitnessEvaluateCountReachTarget
38,1038
Repeat,FitnessEvaluateCountReachTarget
39,1199
Repeat,FitnessEvaluateCountReachTarget
40,1756
Repeat,FitnessEvaluateCountReachTarget
41,1599
Repeat,FitnessEvaluateCountReachTarget
42,1438
Repeat,FitnessEvaluateCountReachTarget
43,1199
Repeat,FitnessEvaluateCountReachTarget
44,1359
Repeat,FitnessEvaluateCountReachTarget
45,1353
Repeat,FitnessEvaluateCountReachTarget
46,1439
Repeat,FitnessEvaluateCountReachTarget
47,1438
Repeat,FitnessEvaluateCountReachTarget
48,1437
Repeat,FitnessEvaluateCountReachTarget
49,1119
Repeat,FitnessEvaluateCountReachTarget
50,1277
Repeat,FitnessEvaluateCountReachTarget
51,1439
Repeat,FitnessEvaluateCountReachTarget
52,1357
Repeat,FitnessEvaluateCountReachTarget
53,1519
Repeat,FitnessEvaluateCountReachTarget
54,1117
Repeat,FitnessEvaluateCountReachTarget
55,1597
Repeat,FitnessEvaluateCountReachTarget
56,1519
Repeat,FitnessEvaluateCountReachTarget
57,1117
Repeat,FitnessEvaluateCountReachTarget
58,1279
Repeat,FitnessEvaluateCountReachTarget
59,959
Repeat,FitnessEvaluateCountReachTarget
60,719
Repeat,FitnessEvaluateCountReachTarget
61,1916
Repeat,FitnessEvaluateCountReachTarget
62,1516
Repeat,FitnessEvaluateCountReachTarget
63,1119
Repeat,FitnessEvaluateCountReachTarget
64,1036
Repeat,FitnessEvaluateCountReachTarget
65,1277
Repeat,FitnessEvaluateCountReachTarget
66,1278
Repeat,FitnessEvaluateCountReachTarget
67,1359
Repeat,FitnessEvaluateCountReachTarget
68,1277
Repeat,FitnessEvaluateCountReachTarget
69,1439
Repeat,FitnessEvaluateCountReachTarget
70,1119
Repeat,FitnessEvaluateCountReachTarget
71,1119
Repeat,FitnessEvaluateCountReachTarget
72,1358
Repeat,FitnessEvaluateCountReachTarget
73,1117
Repeat,FitnessEvaluateCountReachTarget
74,1199
Repeat,FitnessEvaluateCountReachTarget
75,1279
Repeat,FitnessEvaluateCountReachTarget
76,1196
Repeat,FitnessEvaluateCountReachTarget
77,1358
Repeat,FitnessEvaluateCountReachTarget
78,1198
Repeat,FitnessEvaluateCountReachTarget
79,1355
Repeat,FitnessEvaluateCountReachTarget
80,1038
Repeat,FitnessEvaluateCountReachTarget
81,1279
Repeat,FitnessEvaluateCountReachTarget
82,1439
Repeat,FitnessEvaluateCountReachTarget
83,1677
Repeat,FitnessEvaluateCountReachTarget
84,1357
Repeat,FitnessEvaluateCountReachTarget
85,1198
Repeat,FitnessEvaluateCountReachTarget
86,1439
Repeat,FitnessEvaluateCountReachTarget
87,1599
Repeat,FitnessEvaluateCountReachTarget
88,1199
Repeat,FitnessEvaluateCountReachTarget
89,1199
Repeat,FitnessEvaluateCountReachTarget
90,1519
Repeat,FitnessEvaluateCountReachTarget
91,1679
Repeat,FitnessEvaluateCountReachTarget
92,1599
Repeat,FitnessEvaluateCountReachTarget
93,1437
Repeat,FitnessEvaluateCountReachTarget
94,1439
Repeat,FitnessEvaluateCountReachTarget
95,959
Repeat,FitnessEvaluateCountReachTarget
96,1676
Repeat,FitnessEvaluateCountReachTarget
97,1439
Repeat,FitnessEvaluateCountReachTarget
98,1359
Repeat,FitnessEvaluateCountReachTarget
99,1438
