Repeat,FitnessEvaluateCountReachTarget
0,389
Repeat,FitnessEvaluateCountReachTarget
1,599
Repeat,FitnessEvaluateCountReachTarget
2,569
Repeat,FitnessEvaluateCountReachTarget
3,449
Repeat,FitnessEvaluateCountReachTarget
4,478
Repeat,FitnessEvaluateCountReachTarget
5,419
Repeat,FitnessEvaluateCountReachTarget
6,658
Repeat,FitnessEvaluateCountReachTarget
7,719
Repeat,FitnessEvaluateCountReachTarget
8,569
Repeat,FitnessEvaluateCountReachTarget
9,479
Repeat,FitnessEvaluateCountReachTarget
10,508
Repeat,FitnessEvaluateCountReachTarget
11,688
Repeat,FitnessEvaluateCountReachTarget
12,629
Repeat,FitnessEvaluateCountReachTarget
13,689
Repeat,FitnessEvaluateCountReachTarget
14,508
Repeat,FitnessEvaluateCountReachTarget
15,508
Repeat,FitnessEvaluateCountReachTarget
16,569
Repeat,FitnessEvaluateCountReachTarget
17,599
Repeat,FitnessEvaluateCountReachTarget
18,479
Repeat,FitnessEvaluateCountReachTarget
19,749
Repeat,FitnessEvaluateCountReachTarget
20,539
Repeat,FitnessEvaluateCountReachTarget
21,749
Repeat,FitnessEvaluateCountReachTarget
22,569
Repeat,FitnessEvaluateCountReachTarget
23,629
Repeat,FitnessEvaluateCountReachTarget
24,509
Repeat,FitnessEvaluateCountReachTarget
25,506
Repeat,FitnessEvaluateCountReachTarget
26,719
Repeat,FitnessEvaluateCountReachTarget
27,566
Repeat,FitnessEvaluateCountReachTarget
28,659
Repeat,FitnessEvaluateCountReachTarget
29,719
Repeat,FitnessEvaluateCountReachTarget
30,508
Repeat,FitnessEvaluateCountReachTarget
31,599
Repeat,FitnessEvaluateCountReachTarget
32,509
Repeat,FitnessEvaluateCountReachTarget
33,539
Repeat,FitnessEvaluateCountReachTarget
34,538
Repeat,FitnessEvaluateCountReachTarget
35,629
Repeat,FitnessEvaluateCountReachTarget
36,419
Repeat,FitnessEvaluateCountReachTarget
37,599
Repeat,FitnessEvaluateCountReachTarget
38,777
Repeat,FitnessEvaluateCountReachTarget
39,749
Repeat,FitnessEvaluateCountReachTarget
40,478
Repeat,FitnessEvaluateCountReachTarget
41,629
Repeat,FitnessEvaluateCountReachTarget
42,479
Repeat,FitnessEvaluateCountReachTarget
43,599
Repeat,FitnessEvaluateCountReachTarget
44,625
Repeat,FitnessEvaluateCountReachTarget
45,449
Repeat,FitnessEvaluateCountReachTarget
46,869
Repeat,FitnessEvaluateCountReachTarget
47,779
Repeat,FitnessEvaluateCountReachTarget
48,597
Repeat,FitnessEvaluateCountReachTarget
49,718
Repeat,FitnessEvaluateCountReachTarget
50,717
Repeat,FitnessEvaluateCountReachTarget
51,689
Repeat,FitnessEvaluateCountReachTarget
52,567
Repeat,FitnessEvaluateCountReachTarget
53,628
Repeat,FitnessEvaluateCountReachTarget
54,569
Repeat,FitnessEvaluateCountReachTarget
55,597
Repeat,FitnessEvaluateCountReachTarget
56,629
Repeat,FitnessEvaluateCountReachTarget
57,539
Repeat,FitnessEvaluateCountReachTarget
58,719
Repeat,FitnessEvaluateCountReachTarget
59,509
Repeat,FitnessEvaluateCountReachTarget
60,479
Repeat,FitnessEvaluateCountReachTarget
61,599
Repeat,FitnessEvaluateCountReachTarget
62,659
Repeat,FitnessEvaluateCountReachTarget
63,659
Repeat,FitnessEvaluateCountReachTarget
64,537
Repeat,FitnessEvaluateCountReachTarget
65,568
Repeat,FitnessEvaluateCountReachTarget
66,659
Repeat,FitnessEvaluateCountReachTarget
67,719
Repeat,FitnessEvaluateCountReachTarget
68,599
Repeat,FitnessEvaluateCountReachTarget
69,568
Repeat,FitnessEvaluateCountReachTarget
70,449
Repeat,FitnessEvaluateCountReachTarget
71,508
Repeat,FitnessEvaluateCountReachTarget
72,479
Repeat,FitnessEvaluateCountReachTarget
73,509
Repeat,FitnessEvaluateCountReachTarget
74,659
Repeat,FitnessEvaluateCountReachTarget
75,628
Repeat,FitnessEvaluateCountReachTarget
76,568
Repeat,FitnessEvaluateCountReachTarget
77,659
Repeat,FitnessEvaluateCountReachTarget
78,299
Repeat,FitnessEvaluateCountReachTarget
79,659
Repeat,FitnessEvaluateCountReachTarget
80,569
Repeat,FitnessEvaluateCountReachTarget
81,659
Repeat,FitnessEvaluateCountReachTarget
82,628
Repeat,FitnessEvaluateCountReachTarget
83,508
Repeat,FitnessEvaluateCountReachTarget
84,418
Repeat,FitnessEvaluateCountReachTarget
85,417
Repeat,FitnessEvaluateCountReachTarget
86,479
Repeat,FitnessEvaluateCountReachTarget
87,479
Repeat,FitnessEvaluateCountReachTarget
88,419
Repeat,FitnessEvaluateCountReachTarget
89,746
Repeat,FitnessEvaluateCountReachTarget
90,538
Repeat,FitnessEvaluateCountReachTarget
91,748
Repeat,FitnessEvaluateCountReachTarget
92,599
Repeat,FitnessEvaluateCountReachTarget
93,329
Repeat,FitnessEvaluateCountReachTarget
94,509
Repeat,FitnessEvaluateCountReachTarget
95,479
Repeat,FitnessEvaluateCountReachTarget
96,538
Repeat,FitnessEvaluateCountReachTarget
97,568
Repeat,FitnessEvaluateCountReachTarget
98,597
Repeat,FitnessEvaluateCountReachTarget
99,539
