Repeat,FitnessEvaluateCountReachTarget
0,359
Repeat,FitnessEvaluateCountReachTarget
1,389
Repeat,FitnessEvaluateCountReachTarget
2,239
Repeat,FitnessEvaluateCountReachTarget
3,208
Repeat,FitnessEvaluateCountReachTarget
4,387
Repeat,FitnessEvaluateCountReachTarget
5,359
Repeat,FitnessEvaluateCountReachTarget
6,296
Repeat,FitnessEvaluateCountReachTarget
7,269
Repeat,FitnessEvaluateCountReachTarget
8,358
Repeat,FitnessEvaluateCountReachTarget
9,299
Repeat,FitnessEvaluateCountReachTarget
10,448
Repeat,FitnessEvaluateCountReachTarget
11,239
Repeat,FitnessEvaluateCountReachTarget
12,179
Repeat,FitnessEvaluateCountReachTarget
13,476
Repeat,FitnessEvaluateCountReachTarget
14,298
Repeat,FitnessEvaluateCountReachTarget
15,329
Repeat,FitnessEvaluateCountReachTarget
16,239
Repeat,FitnessEvaluateCountReachTarget
17,209
Repeat,FitnessEvaluateCountReachTarget
18,359
Repeat,FitnessEvaluateCountReachTarget
19,359
Repeat,FitnessEvaluateCountReachTarget
20,358
Repeat,FitnessEvaluateCountReachTarget
21,329
Repeat,FitnessEvaluateCountReachTarget
22,269
Repeat,FitnessEvaluateCountReachTarget
23,269
Repeat,FitnessEvaluateCountReachTarget
24,239
Repeat,FitnessEvaluateCountReachTarget
25,359
Repeat,FitnessEvaluateCountReachTarget
26,358
Repeat,FitnessEvaluateCountReachTarget
27,569
Repeat,FitnessEvaluateCountReachTarget
28,268
Repeat,FitnessEvaluateCountReachTarget
29,238
Repeat,FitnessEvaluateCountReachTarget
30,209
Repeat,FitnessEvaluateCountReachTarget
31,239
Repeat,FitnessEvaluateCountReachTarget
32,267
Repeat,FitnessEvaluateCountReachTarget
33,209
Repeat,FitnessEvaluateCountReachTarget
34,238
Repeat,FitnessEvaluateCountReachTarget
35,419
Repeat,FitnessEvaluateCountReachTarget
36,329
Repeat,FitnessEvaluateCountReachTarget
37,239
Repeat,FitnessEvaluateCountReachTarget
38,209
Repeat,FitnessEvaluateCountReachTarget
39,359
Repeat,FitnessEvaluateCountReachTarget
40,326
Repeat,FitnessEvaluateCountReachTarget
41,329
Repeat,FitnessEvaluateCountReachTarget
42,269
Repeat,FitnessEvaluateCountReachTarget
43,419
Repeat,FitnessEvaluateCountReachTarget
44,299
Repeat,FitnessEvaluateCountReachTarget
45,327
Repeat,FitnessEvaluateCountReachTarget
46,328
Repeat,FitnessEvaluateCountReachTarget
47,209
Repeat,FitnessEvaluateCountReachTarget
48,297
Repeat,FitnessEvaluateCountReachTarget
49,208
Repeat,FitnessEvaluateCountReachTarget
50,329
Repeat,FitnessEvaluateCountReachTarget
51,209
Repeat,FitnessEvaluateCountReachTarget
52,388
Repeat,FitnessEvaluateCountReachTarget
53,327
Repeat,FitnessEvaluateCountReachTarget
54,299
Repeat,FitnessEvaluateCountReachTarget
55,359
Repeat,FitnessEvaluateCountReachTarget
56,359
Repeat,FitnessEvaluateCountReachTarget
57,477
Repeat,FitnessEvaluateCountReachTarget
58,358
Repeat,FitnessEvaluateCountReachTarget
59,239
Repeat,FitnessEvaluateCountReachTarget
60,238
Repeat,FitnessEvaluateCountReachTarget
61,269
Repeat,FitnessEvaluateCountReachTarget
62,299
Repeat,FitnessEvaluateCountReachTarget
63,328
Repeat,FitnessEvaluateCountReachTarget
64,417
Repeat,FitnessEvaluateCountReachTarget
65,328
Repeat,FitnessEvaluateCountReachTarget
66,359
Repeat,FitnessEvaluateCountReachTarget
67,296
Repeat,FitnessEvaluateCountReachTarget
68,208
Repeat,FitnessEvaluateCountReachTarget
69,209
Repeat,FitnessEvaluateCountReachTarget
70,293
Repeat,FitnessEvaluateCountReachTarget
71,328
Repeat,FitnessEvaluateCountReachTarget
72,297
Repeat,FitnessEvaluateCountReachTarget
73,359
Repeat,FitnessEvaluateCountReachTarget
74,328
Repeat,FitnessEvaluateCountReachTarget
75,149
Repeat,FitnessEvaluateCountReachTarget
76,358
Repeat,FitnessEvaluateCountReachTarget
77,358
Repeat,FitnessEvaluateCountReachTarget
78,269
Repeat,FitnessEvaluateCountReachTarget
79,359
Repeat,FitnessEvaluateCountReachTarget
80,329
Repeat,FitnessEvaluateCountReachTarget
81,299
Repeat,FitnessEvaluateCountReachTarget
82,268
Repeat,FitnessEvaluateCountReachTarget
83,239
Repeat,FitnessEvaluateCountReachTarget
84,328
Repeat,FitnessEvaluateCountReachTarget
85,326
Repeat,FitnessEvaluateCountReachTarget
86,239
Repeat,FitnessEvaluateCountReachTarget
87,359
Repeat,FitnessEvaluateCountReachTarget
88,269
Repeat,FitnessEvaluateCountReachTarget
89,419
Repeat,FitnessEvaluateCountReachTarget
90,269
Repeat,FitnessEvaluateCountReachTarget
91,328
Repeat,FitnessEvaluateCountReachTarget
92,268
Repeat,FitnessEvaluateCountReachTarget
93,239
Repeat,FitnessEvaluateCountReachTarget
94,179
Repeat,FitnessEvaluateCountReachTarget
95,357
Repeat,FitnessEvaluateCountReachTarget
96,298
Repeat,FitnessEvaluateCountReachTarget
97,299
Repeat,FitnessEvaluateCountReachTarget
98,298
Repeat,FitnessEvaluateCountReachTarget
99,359
