Repeat,FitnessEvaluateCountReachTarget
0,879
Repeat,FitnessEvaluateCountReachTarget
1,559
Repeat,FitnessEvaluateCountReachTarget
2,639
Repeat,FitnessEvaluateCountReachTarget
3,958
Repeat,FitnessEvaluateCountReachTarget
4,871
Repeat,FitnessEvaluateCountReachTarget
5,799
Repeat,FitnessEvaluateCountReachTarget
6,639
Repeat,FitnessEvaluateCountReachTarget
7,879
Repeat,FitnessEvaluateCountReachTarget
8,633
Repeat,FitnessEvaluateCountReachTarget
9,799
Repeat,FitnessEvaluateCountReachTarget
10,719
Repeat,FitnessEvaluateCountReachTarget
11,639
Repeat,FitnessEvaluateCountReachTarget
12,80080
Repeat,FitnessEvaluateCountReachTarget
13,797
Repeat,FitnessEvaluateCountReachTarget
14,876
Repeat,FitnessEvaluateCountReachTarget
15,878
Repeat,FitnessEvaluateCountReachTarget
16,638
Repeat,FitnessEvaluateCountReachTarget
17,878
Repeat,FitnessEvaluateCountReachTarget
18,639
Repeat,FitnessEvaluateCountReachTarget
19,559
Repeat,FitnessEvaluateCountReachTarget
20,559
Repeat,FitnessEvaluateCountReachTarget
21,878
Repeat,FitnessEvaluateCountReachTarget
22,797
Repeat,FitnessEvaluateCountReachTarget
23,639
Repeat,FitnessEvaluateCountReachTarget
24,1119
Repeat,FitnessEvaluateCountReachTarget
25,799
Repeat,FitnessEvaluateCountReachTarget
26,80080
Repeat,FitnessEvaluateCountReachTarget
27,874
Repeat,FitnessEvaluateCountReachTarget
28,878
Repeat,FitnessEvaluateCountReachTarget
29,719
Repeat,FitnessEvaluateCountReachTarget
30,1039
Repeat,FitnessEvaluateCountReachTarget
31,719
Repeat,FitnessEvaluateCountReachTarget
32,795
Repeat,FitnessEvaluateCountReachTarget
33,719
Repeat,FitnessEvaluateCountReachTarget
34,718
Repeat,FitnessEvaluateCountReachTarget
35,80080
Repeat,FitnessEvaluateCountReachTarget
36,80080
Repeat,FitnessEvaluateCountReachTarget
37,794
Repeat,FitnessEvaluateCountReachTarget
38,797
Repeat,FitnessEvaluateCountReachTarget
39,638
Repeat,FitnessEvaluateCountReachTarget
40,639
Repeat,FitnessEvaluateCountReachTarget
41,80080
Repeat,FitnessEvaluateCountReachTarget
42,879
Repeat,FitnessEvaluateCountReachTarget
43,959
Repeat,FitnessEvaluateCountReachTarget
44,80080
Repeat,FitnessEvaluateCountReachTarget
45,80080
Repeat,FitnessEvaluateCountReachTarget
46,638
Repeat,FitnessEvaluateCountReachTarget
47,718
Repeat,FitnessEvaluateCountReachTarget
48,637
Repeat,FitnessEvaluateCountReachTarget
49,639
Repeat,FitnessEvaluateCountReachTarget
50,637
Repeat,FitnessEvaluateCountReachTarget
51,799
Repeat,FitnessEvaluateCountReachTarget
52,639
Repeat,FitnessEvaluateCountReachTarget
53,718
Repeat,FitnessEvaluateCountReachTarget
54,639
Repeat,FitnessEvaluateCountReachTarget
55,639
Repeat,FitnessEvaluateCountReachTarget
56,638
Repeat,FitnessEvaluateCountReachTarget
57,798
Repeat,FitnessEvaluateCountReachTarget
58,878
Repeat,FitnessEvaluateCountReachTarget
59,639
Repeat,FitnessEvaluateCountReachTarget
60,80080
Repeat,FitnessEvaluateCountReachTarget
61,798
Repeat,FitnessEvaluateCountReachTarget
62,717
Repeat,FitnessEvaluateCountReachTarget
63,719
Repeat,FitnessEvaluateCountReachTarget
64,719
Repeat,FitnessEvaluateCountReachTarget
65,717
Repeat,FitnessEvaluateCountReachTarget
66,639
Repeat,FitnessEvaluateCountReachTarget
67,80080
Repeat,FitnessEvaluateCountReachTarget
68,879
Repeat,FitnessEvaluateCountReachTarget
69,878
Repeat,FitnessEvaluateCountReachTarget
70,796
Repeat,FitnessEvaluateCountReachTarget
71,794
Repeat,FitnessEvaluateCountReachTarget
72,795
Repeat,FitnessEvaluateCountReachTarget
73,638
Repeat,FitnessEvaluateCountReachTarget
74,799
Repeat,FitnessEvaluateCountReachTarget
75,799
Repeat,FitnessEvaluateCountReachTarget
76,638
Repeat,FitnessEvaluateCountReachTarget
77,719
Repeat,FitnessEvaluateCountReachTarget
78,639
Repeat,FitnessEvaluateCountReachTarget
79,80080
Repeat,FitnessEvaluateCountReachTarget
80,797
Repeat,FitnessEvaluateCountReachTarget
81,958
Repeat,FitnessEvaluateCountReachTarget
82,639
Repeat,FitnessEvaluateCountReachTarget
83,958
Repeat,FitnessEvaluateCountReachTarget
84,719
Repeat,FitnessEvaluateCountReachTarget
85,714
Repeat,FitnessEvaluateCountReachTarget
86,1113
Repeat,FitnessEvaluateCountReachTarget
87,1115
Repeat,FitnessEvaluateCountReachTarget
88,636
Repeat,FitnessEvaluateCountReachTarget
89,717
Repeat,FitnessEvaluateCountReachTarget
90,638
Repeat,FitnessEvaluateCountReachTarget
91,719
Repeat,FitnessEvaluateCountReachTarget
92,795
Repeat,FitnessEvaluateCountReachTarget
93,559
Repeat,FitnessEvaluateCountReachTarget
94,639
Repeat,FitnessEvaluateCountReachTarget
95,714
Repeat,FitnessEvaluateCountReachTarget
96,1119
Repeat,FitnessEvaluateCountReachTarget
97,639
Repeat,FitnessEvaluateCountReachTarget
98,718
Repeat,FitnessEvaluateCountReachTarget
99,793
