Repeat,FitnessEvaluateCountReachTarget
0,269
Repeat,FitnessEvaluateCountReachTarget
1,299
Repeat,FitnessEvaluateCountReachTarget
2,509
Repeat,FitnessEvaluateCountReachTarget
3,448
Repeat,FitnessEvaluateCountReachTarget
4,479
Repeat,FitnessEvaluateCountReachTarget
5,418
Repeat,FitnessEvaluateCountReachTarget
6,448
Repeat,FitnessEvaluateCountReachTarget
7,299
Repeat,FitnessEvaluateCountReachTarget
8,389
Repeat,FitnessEvaluateCountReachTarget
9,419
Repeat,FitnessEvaluateCountReachTarget
10,449
Repeat,FitnessEvaluateCountReachTarget
11,388
Repeat,FitnessEvaluateCountReachTarget
12,389
Repeat,FitnessEvaluateCountReachTarget
13,359
Repeat,FitnessEvaluateCountReachTarget
14,629
Repeat,FitnessEvaluateCountReachTarget
15,719
Repeat,FitnessEvaluateCountReachTarget
16,359
Repeat,FitnessEvaluateCountReachTarget
17,388
Repeat,FitnessEvaluateCountReachTarget
18,358
Repeat,FitnessEvaluateCountReachTarget
19,417
Repeat,FitnessEvaluateCountReachTarget
20,448
Repeat,FitnessEvaluateCountReachTarget
21,329
Repeat,FitnessEvaluateCountReachTarget
22,659
Repeat,FitnessEvaluateCountReachTarget
23,719
Repeat,FitnessEvaluateCountReachTarget
24,509
Repeat,FitnessEvaluateCountReachTarget
25,299
Repeat,FitnessEvaluateCountReachTarget
26,389
Repeat,FitnessEvaluateCountReachTarget
27,507
Repeat,FitnessEvaluateCountReachTarget
28,299
Repeat,FitnessEvaluateCountReachTarget
29,1079
Repeat,FitnessEvaluateCountReachTarget
30,419
Repeat,FitnessEvaluateCountReachTarget
31,329
Repeat,FitnessEvaluateCountReachTarget
32,329
Repeat,FitnessEvaluateCountReachTarget
33,329
Repeat,FitnessEvaluateCountReachTarget
34,539
Repeat,FitnessEvaluateCountReachTarget
35,538
Repeat,FitnessEvaluateCountReachTarget
36,779
Repeat,FitnessEvaluateCountReachTarget
37,569
Repeat,FitnessEvaluateCountReachTarget
38,329
Repeat,FitnessEvaluateCountReachTarget
39,659
Repeat,FitnessEvaluateCountReachTarget
40,358
Repeat,FitnessEvaluateCountReachTarget
41,327
Repeat,FitnessEvaluateCountReachTarget
42,357
Repeat,FitnessEvaluateCountReachTarget
43,539
Repeat,FitnessEvaluateCountReachTarget
44,329
Repeat,FitnessEvaluateCountReachTarget
45,419
Repeat,FitnessEvaluateCountReachTarget
46,299
Repeat,FitnessEvaluateCountReachTarget
47,299
Repeat,FitnessEvaluateCountReachTarget
48,1559
Repeat,FitnessEvaluateCountReachTarget
49,1049
Repeat,FitnessEvaluateCountReachTarget
50,359
Repeat,FitnessEvaluateCountReachTarget
51,449
Repeat,FitnessEvaluateCountReachTarget
52,298
Repeat,FitnessEvaluateCountReachTarget
53,479
Repeat,FitnessEvaluateCountReachTarget
54,269
Repeat,FitnessEvaluateCountReachTarget
55,389
Repeat,FitnessEvaluateCountReachTarget
56,539
Repeat,FitnessEvaluateCountReachTarget
57,389
Repeat,FitnessEvaluateCountReachTarget
58,418
Repeat,FitnessEvaluateCountReachTarget
59,328
Repeat,FitnessEvaluateCountReachTarget
60,419
Repeat,FitnessEvaluateCountReachTarget
61,599
Repeat,FitnessEvaluateCountReachTarget
62,475
Repeat,FitnessEvaluateCountReachTarget
63,449
Repeat,FitnessEvaluateCountReachTarget
64,539
Repeat,FitnessEvaluateCountReachTarget
65,389
Repeat,FitnessEvaluateCountReachTarget
66,509
Repeat,FitnessEvaluateCountReachTarget
67,359
Repeat,FitnessEvaluateCountReachTarget
68,389
Repeat,FitnessEvaluateCountReachTarget
69,238
Repeat,FitnessEvaluateCountReachTarget
70,449
Repeat,FitnessEvaluateCountReachTarget
71,599
Repeat,FitnessEvaluateCountReachTarget
72,629
Repeat,FitnessEvaluateCountReachTarget
73,569
Repeat,FitnessEvaluateCountReachTarget
74,538
Repeat,FitnessEvaluateCountReachTarget
75,569
Repeat,FitnessEvaluateCountReachTarget
76,359
Repeat,FitnessEvaluateCountReachTarget
77,299
Repeat,FitnessEvaluateCountReachTarget
78,298
Repeat,FitnessEvaluateCountReachTarget
79,539
Repeat,FitnessEvaluateCountReachTarget
80,209
Repeat,FitnessEvaluateCountReachTarget
81,359
Repeat,FitnessEvaluateCountReachTarget
82,479
Repeat,FitnessEvaluateCountReachTarget
83,419
Repeat,FitnessEvaluateCountReachTarget
84,689
Repeat,FitnessEvaluateCountReachTarget
85,329
Repeat,FitnessEvaluateCountReachTarget
86,269
Repeat,FitnessEvaluateCountReachTarget
87,268
Repeat,FitnessEvaluateCountReachTarget
88,479
Repeat,FitnessEvaluateCountReachTarget
89,329
Repeat,FitnessEvaluateCountReachTarget
90,299
Repeat,FitnessEvaluateCountReachTarget
91,358
Repeat,FitnessEvaluateCountReachTarget
92,328
Repeat,FitnessEvaluateCountReachTarget
93,1019
Repeat,FitnessEvaluateCountReachTarget
94,1889
Repeat,FitnessEvaluateCountReachTarget
95,479
Repeat,FitnessEvaluateCountReachTarget
96,327
Repeat,FitnessEvaluateCountReachTarget
97,328
Repeat,FitnessEvaluateCountReachTarget
98,449
Repeat,FitnessEvaluateCountReachTarget
99,418
