Repeat,FitnessEvaluateCountReachTarget
0,1018
Repeat,FitnessEvaluateCountReachTarget
1,1499
Repeat,FitnessEvaluateCountReachTarget
2,1979
Repeat,FitnessEvaluateCountReachTarget
3,1979
Repeat,FitnessEvaluateCountReachTarget
4,1619
Repeat,FitnessEvaluateCountReachTarget
5,1769
Repeat,FitnessEvaluateCountReachTarget
6,1227
Repeat,FitnessEvaluateCountReachTarget
7,1169
Repeat,FitnessEvaluateCountReachTarget
8,1589
Repeat,FitnessEvaluateCountReachTarget
9,1379
Repeat,FitnessEvaluateCountReachTarget
10,1918
Repeat,FitnessEvaluateCountReachTarget
11,2279
Repeat,FitnessEvaluateCountReachTarget
12,1709
Repeat,FitnessEvaluateCountReachTarget
13,1829
Repeat,FitnessEvaluateCountReachTarget
14,1139
Repeat,FitnessEvaluateCountReachTarget
15,1589
Repeat,FitnessEvaluateCountReachTarget
16,1199
Repeat,FitnessEvaluateCountReachTarget
17,1199
Repeat,FitnessEvaluateCountReachTarget
18,1829
Repeat,FitnessEvaluateCountReachTarget
19,1287
Repeat,FitnessEvaluateCountReachTarget
20,1529
Repeat,FitnessEvaluateCountReachTarget
21,2399
Repeat,FitnessEvaluateCountReachTarget
22,1619
Repeat,FitnessEvaluateCountReachTarget
23,2579
Repeat,FitnessEvaluateCountReachTarget
24,1139
Repeat,FitnessEvaluateCountReachTarget
25,899
Repeat,FitnessEvaluateCountReachTarget
26,1199
Repeat,FitnessEvaluateCountReachTarget
27,1319
Repeat,FitnessEvaluateCountReachTarget
28,1769
Repeat,FitnessEvaluateCountReachTarget
29,1259
Repeat,FitnessEvaluateCountReachTarget
30,1109
Repeat,FitnessEvaluateCountReachTarget
31,1499
Repeat,FitnessEvaluateCountReachTarget
32,1109
Repeat,FitnessEvaluateCountReachTarget
33,1079
Repeat,FitnessEvaluateCountReachTarget
34,1349
Repeat,FitnessEvaluateCountReachTarget
35,1919
Repeat,FitnessEvaluateCountReachTarget
36,1169
Repeat,FitnessEvaluateCountReachTarget
37,1199
Repeat,FitnessEvaluateCountReachTarget
38,1678
Repeat,FitnessEvaluateCountReachTarget
39,989
Repeat,FitnessEvaluateCountReachTarget
40,2579
Repeat,FitnessEvaluateCountReachTarget
41,2609
Repeat,FitnessEvaluateCountReachTarget
42,1049
Repeat,FitnessEvaluateCountReachTarget
43,1019
Repeat,FitnessEvaluateCountReachTarget
44,1289
Repeat,FitnessEvaluateCountReachTarget
45,989
Repeat,FitnessEvaluateCountReachTarget
46,1079
Repeat,FitnessEvaluateCountReachTarget
47,1319
Repeat,FitnessEvaluateCountReachTarget
48,2789
Repeat,FitnessEvaluateCountReachTarget
49,1288
Repeat,FitnessEvaluateCountReachTarget
50,2159
Repeat,FitnessEvaluateCountReachTarget
51,2159
Repeat,FitnessEvaluateCountReachTarget
52,1319
Repeat,FitnessEvaluateCountReachTarget
53,1049
Repeat,FitnessEvaluateCountReachTarget
54,1019
Repeat,FitnessEvaluateCountReachTarget
55,2279
Repeat,FitnessEvaluateCountReachTarget
56,3449
Repeat,FitnessEvaluateCountReachTarget
57,1319
Repeat,FitnessEvaluateCountReachTarget
58,1079
Repeat,FitnessEvaluateCountReachTarget
59,869
Repeat,FitnessEvaluateCountReachTarget
60,1499
Repeat,FitnessEvaluateCountReachTarget
61,1139
Repeat,FitnessEvaluateCountReachTarget
62,1109
Repeat,FitnessEvaluateCountReachTarget
63,1349
Repeat,FitnessEvaluateCountReachTarget
64,2159
Repeat,FitnessEvaluateCountReachTarget
65,1709
Repeat,FitnessEvaluateCountReachTarget
66,1319
Repeat,FitnessEvaluateCountReachTarget
67,1229
Repeat,FitnessEvaluateCountReachTarget
68,1349
Repeat,FitnessEvaluateCountReachTarget
69,1709
Repeat,FitnessEvaluateCountReachTarget
70,1196
Repeat,FitnessEvaluateCountReachTarget
71,959
Repeat,FitnessEvaluateCountReachTarget
72,1439
Repeat,FitnessEvaluateCountReachTarget
73,1079
Repeat,FitnessEvaluateCountReachTarget
74,929
Repeat,FitnessEvaluateCountReachTarget
75,1109
Repeat,FitnessEvaluateCountReachTarget
76,1379
Repeat,FitnessEvaluateCountReachTarget
77,1199
Repeat,FitnessEvaluateCountReachTarget
78,1229
Repeat,FitnessEvaluateCountReachTarget
79,1648
Repeat,FitnessEvaluateCountReachTarget
80,1079
Repeat,FitnessEvaluateCountReachTarget
81,1139
Repeat,FitnessEvaluateCountReachTarget
82,1109
Repeat,FitnessEvaluateCountReachTarget
83,2339
Repeat,FitnessEvaluateCountReachTarget
84,1527
Repeat,FitnessEvaluateCountReachTarget
85,1228
Repeat,FitnessEvaluateCountReachTarget
86,1289
Repeat,FitnessEvaluateCountReachTarget
87,1439
Repeat,FitnessEvaluateCountReachTarget
88,2939
Repeat,FitnessEvaluateCountReachTarget
89,1139
Repeat,FitnessEvaluateCountReachTarget
90,929
Repeat,FitnessEvaluateCountReachTarget
91,1529
Repeat,FitnessEvaluateCountReachTarget
92,3419
Repeat,FitnessEvaluateCountReachTarget
93,1379
Repeat,FitnessEvaluateCountReachTarget
94,1229
Repeat,FitnessEvaluateCountReachTarget
95,1888
Repeat,FitnessEvaluateCountReachTarget
96,599
Repeat,FitnessEvaluateCountReachTarget
97,1109
Repeat,FitnessEvaluateCountReachTarget
98,959
Repeat,FitnessEvaluateCountReachTarget
99,959
