Repeat,FitnessEvaluateCountReachTarget
0,1289
Repeat,FitnessEvaluateCountReachTarget
1,959
Repeat,FitnessEvaluateCountReachTarget
2,809
Repeat,FitnessEvaluateCountReachTarget
3,1079
Repeat,FitnessEvaluateCountReachTarget
4,1289
Repeat,FitnessEvaluateCountReachTarget
5,8219
Repeat,FitnessEvaluateCountReachTarget
6,1319
Repeat,FitnessEvaluateCountReachTarget
7,15030
Repeat,FitnessEvaluateCountReachTarget
8,4108
Repeat,FitnessEvaluateCountReachTarget
9,1019
Repeat,FitnessEvaluateCountReachTarget
10,1709
Repeat,FitnessEvaluateCountReachTarget
11,7529
Repeat,FitnessEvaluateCountReachTarget
12,899
Repeat,FitnessEvaluateCountReachTarget
13,1349
Repeat,FitnessEvaluateCountReachTarget
14,869
Repeat,FitnessEvaluateCountReachTarget
15,1109
Repeat,FitnessEvaluateCountReachTarget
16,808
Repeat,FitnessEvaluateCountReachTarget
17,1169
Repeat,FitnessEvaluateCountReachTarget
18,1168
Repeat,FitnessEvaluateCountReachTarget
19,929
Repeat,FitnessEvaluateCountReachTarget
20,15030
Repeat,FitnessEvaluateCountReachTarget
21,5159
Repeat,FitnessEvaluateCountReachTarget
22,839
Repeat,FitnessEvaluateCountReachTarget
23,1109
Repeat,FitnessEvaluateCountReachTarget
24,1079
Repeat,FitnessEvaluateCountReachTarget
25,1169
Repeat,FitnessEvaluateCountReachTarget
26,1018
Repeat,FitnessEvaluateCountReachTarget
27,779
Repeat,FitnessEvaluateCountReachTarget
28,959
Repeat,FitnessEvaluateCountReachTarget
29,867
Repeat,FitnessEvaluateCountReachTarget
30,1139
Repeat,FitnessEvaluateCountReachTarget
31,12868
Repeat,FitnessEvaluateCountReachTarget
32,1199
Repeat,FitnessEvaluateCountReachTarget
33,1109
Repeat,FitnessEvaluateCountReachTarget
34,1409
Repeat,FitnessEvaluateCountReachTarget
35,839
Repeat,FitnessEvaluateCountReachTarget
36,15030
Repeat,FitnessEvaluateCountReachTarget
37,1199
Repeat,FitnessEvaluateCountReachTarget
38,1019
Repeat,FitnessEvaluateCountReachTarget
39,929
Repeat,FitnessEvaluateCountReachTarget
40,989
Repeat,FitnessEvaluateCountReachTarget
41,868
Repeat,FitnessEvaluateCountReachTarget
42,839
Repeat,FitnessEvaluateCountReachTarget
43,1049
Repeat,FitnessEvaluateCountReachTarget
44,1319
Repeat,FitnessEvaluateCountReachTarget
45,1558
Repeat,FitnessEvaluateCountReachTarget
46,989
Repeat,FitnessEvaluateCountReachTarget
47,1319
Repeat,FitnessEvaluateCountReachTarget
48,1289
Repeat,FitnessEvaluateCountReachTarget
49,959
Repeat,FitnessEvaluateCountReachTarget
50,1138
Repeat,FitnessEvaluateCountReachTarget
51,12329
Repeat,FitnessEvaluateCountReachTarget
52,959
Repeat,FitnessEvaluateCountReachTarget
53,809
Repeat,FitnessEvaluateCountReachTarget
54,15030
Repeat,FitnessEvaluateCountReachTarget
55,1139
Repeat,FitnessEvaluateCountReachTarget
56,959
Repeat,FitnessEvaluateCountReachTarget
57,1019
Repeat,FitnessEvaluateCountReachTarget
58,1019
Repeat,FitnessEvaluateCountReachTarget
59,1739
Repeat,FitnessEvaluateCountReachTarget
60,989
Repeat,FitnessEvaluateCountReachTarget
61,1617
Repeat,FitnessEvaluateCountReachTarget
62,12959
Repeat,FitnessEvaluateCountReachTarget
63,3928
Repeat,FitnessEvaluateCountReachTarget
64,15030
Repeat,FitnessEvaluateCountReachTarget
65,839
Repeat,FitnessEvaluateCountReachTarget
66,779
Repeat,FitnessEvaluateCountReachTarget
67,3749
Repeat,FitnessEvaluateCountReachTarget
68,1228
Repeat,FitnessEvaluateCountReachTarget
69,869
Repeat,FitnessEvaluateCountReachTarget
70,1199
Repeat,FitnessEvaluateCountReachTarget
71,1679
Repeat,FitnessEvaluateCountReachTarget
72,1198
Repeat,FitnessEvaluateCountReachTarget
73,1049
Repeat,FitnessEvaluateCountReachTarget
74,929
Repeat,FitnessEvaluateCountReachTarget
75,839
Repeat,FitnessEvaluateCountReachTarget
76,1079
Repeat,FitnessEvaluateCountReachTarget
77,1169
Repeat,FitnessEvaluateCountReachTarget
78,1529
Repeat,FitnessEvaluateCountReachTarget
79,1409
Repeat,FitnessEvaluateCountReachTarget
80,2939
Repeat,FitnessEvaluateCountReachTarget
81,749
Repeat,FitnessEvaluateCountReachTarget
82,809
Repeat,FitnessEvaluateCountReachTarget
83,1109
Repeat,FitnessEvaluateCountReachTarget
84,1229
Repeat,FitnessEvaluateCountReachTarget
85,1138
Repeat,FitnessEvaluateCountReachTarget
86,1469
Repeat,FitnessEvaluateCountReachTarget
87,989
Repeat,FitnessEvaluateCountReachTarget
88,1319
Repeat,FitnessEvaluateCountReachTarget
89,1439
Repeat,FitnessEvaluateCountReachTarget
90,1319
Repeat,FitnessEvaluateCountReachTarget
91,839
Repeat,FitnessEvaluateCountReachTarget
92,959
Repeat,FitnessEvaluateCountReachTarget
93,1199
Repeat,FitnessEvaluateCountReachTarget
94,1019
Repeat,FitnessEvaluateCountReachTarget
95,1439
Repeat,FitnessEvaluateCountReachTarget
96,4229
Repeat,FitnessEvaluateCountReachTarget
97,1289
Repeat,FitnessEvaluateCountReachTarget
98,1079
Repeat,FitnessEvaluateCountReachTarget
99,1199
