Repeat,FitnessEvaluateCountReachTarget
0,359
Repeat,FitnessEvaluateCountReachTarget
1,659
Repeat,FitnessEvaluateCountReachTarget
2,539
Repeat,FitnessEvaluateCountReachTarget
3,417
Repeat,FitnessEvaluateCountReachTarget
4,658
Repeat,FitnessEvaluateCountReachTarget
5,539
Repeat,FitnessEvaluateCountReachTarget
6,629
Repeat,FitnessEvaluateCountReachTarget
7,569
Repeat,FitnessEvaluateCountReachTarget
8,657
Repeat,FitnessEvaluateCountReachTarget
9,299
Repeat,FitnessEvaluateCountReachTarget
10,569
Repeat,FitnessEvaluateCountReachTarget
11,389
Repeat,FitnessEvaluateCountReachTarget
12,599
Repeat,FitnessEvaluateCountReachTarget
13,598
Repeat,FitnessEvaluateCountReachTarget
14,479
Repeat,FitnessEvaluateCountReachTarget
15,809
Repeat,FitnessEvaluateCountReachTarget
16,537
Repeat,FitnessEvaluateCountReachTarget
17,539
Repeat,FitnessEvaluateCountReachTarget
18,688
Repeat,FitnessEvaluateCountReachTarget
19,598
Repeat,FitnessEvaluateCountReachTarget
20,479
Repeat,FitnessEvaluateCountReachTarget
21,449
Repeat,FitnessEvaluateCountReachTarget
22,598
Repeat,FitnessEvaluateCountReachTarget
23,627
Repeat,FitnessEvaluateCountReachTarget
24,689
Repeat,FitnessEvaluateCountReachTarget
25,599
Repeat,FitnessEvaluateCountReachTarget
26,718
Repeat,FitnessEvaluateCountReachTarget
27,749
Repeat,FitnessEvaluateCountReachTarget
28,599
Repeat,FitnessEvaluateCountReachTarget
29,719
Repeat,FitnessEvaluateCountReachTarget
30,659
Repeat,FitnessEvaluateCountReachTarget
31,749
Repeat,FitnessEvaluateCountReachTarget
32,509
Repeat,FitnessEvaluateCountReachTarget
33,599
Repeat,FitnessEvaluateCountReachTarget
34,688
Repeat,FitnessEvaluateCountReachTarget
35,538
Repeat,FitnessEvaluateCountReachTarget
36,806
Repeat,FitnessEvaluateCountReachTarget
37,658
Repeat,FitnessEvaluateCountReachTarget
38,477
Repeat,FitnessEvaluateCountReachTarget
39,599
Repeat,FitnessEvaluateCountReachTarget
40,569
Repeat,FitnessEvaluateCountReachTarget
41,539
Repeat,FitnessEvaluateCountReachTarget
42,569
Repeat,FitnessEvaluateCountReachTarget
43,507
Repeat,FitnessEvaluateCountReachTarget
44,749
Repeat,FitnessEvaluateCountReachTarget
45,567
Repeat,FitnessEvaluateCountReachTarget
46,479
Repeat,FitnessEvaluateCountReachTarget
47,626
Repeat,FitnessEvaluateCountReachTarget
48,418
Repeat,FitnessEvaluateCountReachTarget
49,539
Repeat,FitnessEvaluateCountReachTarget
50,659
Repeat,FitnessEvaluateCountReachTarget
51,596
Repeat,FitnessEvaluateCountReachTarget
52,625
Repeat,FitnessEvaluateCountReachTarget
53,268
Repeat,FitnessEvaluateCountReachTarget
54,658
Repeat,FitnessEvaluateCountReachTarget
55,509
Repeat,FitnessEvaluateCountReachTarget
56,899
Repeat,FitnessEvaluateCountReachTarget
57,599
Repeat,FitnessEvaluateCountReachTarget
58,688
Repeat,FitnessEvaluateCountReachTarget
59,599
Repeat,FitnessEvaluateCountReachTarget
60,598
Repeat,FitnessEvaluateCountReachTarget
61,719
Repeat,FitnessEvaluateCountReachTarget
62,599
Repeat,FitnessEvaluateCountReachTarget
63,628
Repeat,FitnessEvaluateCountReachTarget
64,658
Repeat,FitnessEvaluateCountReachTarget
65,748
Repeat,FitnessEvaluateCountReachTarget
66,689
Repeat,FitnessEvaluateCountReachTarget
67,509
Repeat,FitnessEvaluateCountReachTarget
68,509
Repeat,FitnessEvaluateCountReachTarget
69,598
Repeat,FitnessEvaluateCountReachTarget
70,539
Repeat,FitnessEvaluateCountReachTarget
71,569
Repeat,FitnessEvaluateCountReachTarget
72,689
Repeat,FitnessEvaluateCountReachTarget
73,479
Repeat,FitnessEvaluateCountReachTarget
74,387
Repeat,FitnessEvaluateCountReachTarget
75,509
Repeat,FitnessEvaluateCountReachTarget
76,417
Repeat,FitnessEvaluateCountReachTarget
77,508
Repeat,FitnessEvaluateCountReachTarget
78,478
Repeat,FitnessEvaluateCountReachTarget
79,809
Repeat,FitnessEvaluateCountReachTarget
80,659
Repeat,FitnessEvaluateCountReachTarget
81,569
Repeat,FitnessEvaluateCountReachTarget
82,629
Repeat,FitnessEvaluateCountReachTarget
83,449
Repeat,FitnessEvaluateCountReachTarget
84,566
Repeat,FitnessEvaluateCountReachTarget
85,719
Repeat,FitnessEvaluateCountReachTarget
86,626
Repeat,FitnessEvaluateCountReachTarget
87,539
Repeat,FitnessEvaluateCountReachTarget
88,539
Repeat,FitnessEvaluateCountReachTarget
89,539
Repeat,FitnessEvaluateCountReachTarget
90,659
Repeat,FitnessEvaluateCountReachTarget
91,358
Repeat,FitnessEvaluateCountReachTarget
92,718
Repeat,FitnessEvaluateCountReachTarget
93,359
Repeat,FitnessEvaluateCountReachTarget
94,569
Repeat,FitnessEvaluateCountReachTarget
95,599
Repeat,FitnessEvaluateCountReachTarget
96,329
Repeat,FitnessEvaluateCountReachTarget
97,717
Repeat,FitnessEvaluateCountReachTarget
98,659
Repeat,FitnessEvaluateCountReachTarget
99,566
