Repeat,FitnessEvaluateCountReachTarget
0,2319
Repeat,FitnessEvaluateCountReachTarget
1,3278
Repeat,FitnessEvaluateCountReachTarget
2,2239
Repeat,FitnessEvaluateCountReachTarget
3,3039
Repeat,FitnessEvaluateCountReachTarget
4,2559
Repeat,FitnessEvaluateCountReachTarget
5,2559
Repeat,FitnessEvaluateCountReachTarget
6,2079
Repeat,FitnessEvaluateCountReachTarget
7,2638
Repeat,FitnessEvaluateCountReachTarget
8,1839
Repeat,FitnessEvaluateCountReachTarget
9,2479
Repeat,FitnessEvaluateCountReachTarget
10,2479
Repeat,FitnessEvaluateCountReachTarget
11,2639
Repeat,FitnessEvaluateCountReachTarget
12,2639
Repeat,FitnessEvaluateCountReachTarget
13,2719
Repeat,FitnessEvaluateCountReachTarget
14,2078
Repeat,FitnessEvaluateCountReachTarget
15,1759
Repeat,FitnessEvaluateCountReachTarget
16,3439
Repeat,FitnessEvaluateCountReachTarget
17,2959
Repeat,FitnessEvaluateCountReachTarget
18,2477
Repeat,FitnessEvaluateCountReachTarget
19,2559
Repeat,FitnessEvaluateCountReachTarget
20,2319
Repeat,FitnessEvaluateCountReachTarget
21,2638
Repeat,FitnessEvaluateCountReachTarget
22,2959
Repeat,FitnessEvaluateCountReachTarget
23,2399
Repeat,FitnessEvaluateCountReachTarget
24,1839
Repeat,FitnessEvaluateCountReachTarget
25,2557
Repeat,FitnessEvaluateCountReachTarget
26,2078
Repeat,FitnessEvaluateCountReachTarget
27,2479
Repeat,FitnessEvaluateCountReachTarget
28,2559
Repeat,FitnessEvaluateCountReachTarget
29,2158
Repeat,FitnessEvaluateCountReachTarget
30,2319
Repeat,FitnessEvaluateCountReachTarget
31,3199
Repeat,FitnessEvaluateCountReachTarget
32,2718
Repeat,FitnessEvaluateCountReachTarget
33,2559
Repeat,FitnessEvaluateCountReachTarget
34,2639
Repeat,FitnessEvaluateCountReachTarget
35,2159
Repeat,FitnessEvaluateCountReachTarget
36,2959
Repeat,FitnessEvaluateCountReachTarget
37,2639
Repeat,FitnessEvaluateCountReachTarget
38,2879
Repeat,FitnessEvaluateCountReachTarget
39,2319
Repeat,FitnessEvaluateCountReachTarget
40,3039
Repeat,FitnessEvaluateCountReachTarget
41,3118
Repeat,FitnessEvaluateCountReachTarget
42,2558
Repeat,FitnessEvaluateCountReachTarget
43,2239
Repeat,FitnessEvaluateCountReachTarget
44,2719
Repeat,FitnessEvaluateCountReachTarget
45,1919
Repeat,FitnessEvaluateCountReachTarget
46,1678
Repeat,FitnessEvaluateCountReachTarget
47,2479
Repeat,FitnessEvaluateCountReachTarget
48,2718
Repeat,FitnessEvaluateCountReachTarget
49,2479
Repeat,FitnessEvaluateCountReachTarget
50,2399
Repeat,FitnessEvaluateCountReachTarget
51,2478
Repeat,FitnessEvaluateCountReachTarget
52,2238
Repeat,FitnessEvaluateCountReachTarget
53,2959
Repeat,FitnessEvaluateCountReachTarget
54,3038
Repeat,FitnessEvaluateCountReachTarget
55,2719
Repeat,FitnessEvaluateCountReachTarget
56,3038
Repeat,FitnessEvaluateCountReachTarget
57,2478
Repeat,FitnessEvaluateCountReachTarget
58,3198
Repeat,FitnessEvaluateCountReachTarget
59,2639
Repeat,FitnessEvaluateCountReachTarget
60,2879
Repeat,FitnessEvaluateCountReachTarget
61,2959
Repeat,FitnessEvaluateCountReachTarget
62,2319
Repeat,FitnessEvaluateCountReachTarget
63,3039
Repeat,FitnessEvaluateCountReachTarget
64,2239
Repeat,FitnessEvaluateCountReachTarget
65,2399
Repeat,FitnessEvaluateCountReachTarget
66,2399
Repeat,FitnessEvaluateCountReachTarget
67,2478
Repeat,FitnessEvaluateCountReachTarget
68,2719
Repeat,FitnessEvaluateCountReachTarget
69,3117
Repeat,FitnessEvaluateCountReachTarget
70,2958
Repeat,FitnessEvaluateCountReachTarget
71,2399
Repeat,FitnessEvaluateCountReachTarget
72,2239
Repeat,FitnessEvaluateCountReachTarget
73,2799
Repeat,FitnessEvaluateCountReachTarget
74,2557
Repeat,FitnessEvaluateCountReachTarget
75,2879
Repeat,FitnessEvaluateCountReachTarget
76,2559
Repeat,FitnessEvaluateCountReachTarget
77,2479
Repeat,FitnessEvaluateCountReachTarget
78,2559
Repeat,FitnessEvaluateCountReachTarget
79,2558
Repeat,FitnessEvaluateCountReachTarget
80,2639
Repeat,FitnessEvaluateCountReachTarget
81,2799
Repeat,FitnessEvaluateCountReachTarget
82,3038
Repeat,FitnessEvaluateCountReachTarget
83,2719
Repeat,FitnessEvaluateCountReachTarget
84,2798
Repeat,FitnessEvaluateCountReachTarget
85,2878
Repeat,FitnessEvaluateCountReachTarget
86,1918
Repeat,FitnessEvaluateCountReachTarget
87,2879
Repeat,FitnessEvaluateCountReachTarget
88,2559
Repeat,FitnessEvaluateCountReachTarget
89,3198
Repeat,FitnessEvaluateCountReachTarget
90,2959
Repeat,FitnessEvaluateCountReachTarget
91,2318
Repeat,FitnessEvaluateCountReachTarget
92,2239
Repeat,FitnessEvaluateCountReachTarget
93,3279
Repeat,FitnessEvaluateCountReachTarget
94,3039
Repeat,FitnessEvaluateCountReachTarget
95,2798
Repeat,FitnessEvaluateCountReachTarget
96,2079
Repeat,FitnessEvaluateCountReachTarget
97,3119
Repeat,FitnessEvaluateCountReachTarget
98,2798
Repeat,FitnessEvaluateCountReachTarget
99,2479
