Repeat,FitnessEvaluateCountReachTarget
0,1278
Repeat,FitnessEvaluateCountReachTarget
1,1439
Repeat,FitnessEvaluateCountReachTarget
2,1598
Repeat,FitnessEvaluateCountReachTarget
3,1119
Repeat,FitnessEvaluateCountReachTarget
4,1439
Repeat,FitnessEvaluateCountReachTarget
5,1516
Repeat,FitnessEvaluateCountReachTarget
6,1519
Repeat,FitnessEvaluateCountReachTarget
7,1195
Repeat,FitnessEvaluateCountReachTarget
8,1355
Repeat,FitnessEvaluateCountReachTarget
9,1119
Repeat,FitnessEvaluateCountReachTarget
10,1279
Repeat,FitnessEvaluateCountReachTarget
11,1359
Repeat,FitnessEvaluateCountReachTarget
12,1039
Repeat,FitnessEvaluateCountReachTarget
13,1598
Repeat,FitnessEvaluateCountReachTarget
14,1358
Repeat,FitnessEvaluateCountReachTarget
15,1359
Repeat,FitnessEvaluateCountReachTarget
16,1438
Repeat,FitnessEvaluateCountReachTarget
17,1838
Repeat,FitnessEvaluateCountReachTarget
18,1437
Repeat,FitnessEvaluateCountReachTarget
19,1279
Repeat,FitnessEvaluateCountReachTarget
20,1597
Repeat,FitnessEvaluateCountReachTarget
21,1757
Repeat,FitnessEvaluateCountReachTarget
22,1359
Repeat,FitnessEvaluateCountReachTarget
23,1437
Repeat,FitnessEvaluateCountReachTarget
24,1515
Repeat,FitnessEvaluateCountReachTarget
25,959
Repeat,FitnessEvaluateCountReachTarget
26,1278
Repeat,FitnessEvaluateCountReachTarget
27,1438
Repeat,FitnessEvaluateCountReachTarget
28,1439
Repeat,FitnessEvaluateCountReachTarget
29,1439
Repeat,FitnessEvaluateCountReachTarget
30,1517
Repeat,FitnessEvaluateCountReachTarget
31,1359
Repeat,FitnessEvaluateCountReachTarget
32,1599
Repeat,FitnessEvaluateCountReachTarget
33,1199
Repeat,FitnessEvaluateCountReachTarget
34,1279
Repeat,FitnessEvaluateCountReachTarget
35,1518
Repeat,FitnessEvaluateCountReachTarget
36,1276
Repeat,FitnessEvaluateCountReachTarget
37,1678
Repeat,FitnessEvaluateCountReachTarget
38,1679
Repeat,FitnessEvaluateCountReachTarget
39,1279
Repeat,FitnessEvaluateCountReachTarget
40,1597
Repeat,FitnessEvaluateCountReachTarget
41,1199
Repeat,FitnessEvaluateCountReachTarget
42,1598
Repeat,FitnessEvaluateCountReachTarget
43,1676
Repeat,FitnessEvaluateCountReachTarget
44,1439
Repeat,FitnessEvaluateCountReachTarget
45,1357
Repeat,FitnessEvaluateCountReachTarget
46,1758
Repeat,FitnessEvaluateCountReachTarget
47,1519
Repeat,FitnessEvaluateCountReachTarget
48,1679
Repeat,FitnessEvaluateCountReachTarget
49,1359
Repeat,FitnessEvaluateCountReachTarget
50,1198
Repeat,FitnessEvaluateCountReachTarget
51,1599
Repeat,FitnessEvaluateCountReachTarget
52,1199
Repeat,FitnessEvaluateCountReachTarget
53,1119
Repeat,FitnessEvaluateCountReachTarget
54,1035
Repeat,FitnessEvaluateCountReachTarget
55,1357
Repeat,FitnessEvaluateCountReachTarget
56,1119
Repeat,FitnessEvaluateCountReachTarget
57,1439
Repeat,FitnessEvaluateCountReachTarget
58,959
Repeat,FitnessEvaluateCountReachTarget
59,1199
Repeat,FitnessEvaluateCountReachTarget
60,1355
Repeat,FitnessEvaluateCountReachTarget
61,1196
Repeat,FitnessEvaluateCountReachTarget
62,1039
Repeat,FitnessEvaluateCountReachTarget
63,1199
Repeat,FitnessEvaluateCountReachTarget
64,1196
Repeat,FitnessEvaluateCountReachTarget
65,1679
Repeat,FitnessEvaluateCountReachTarget
66,1038
Repeat,FitnessEvaluateCountReachTarget
67,1278
Repeat,FitnessEvaluateCountReachTarget
68,1437
Repeat,FitnessEvaluateCountReachTarget
69,1198
Repeat,FitnessEvaluateCountReachTarget
70,1438
Repeat,FitnessEvaluateCountReachTarget
71,1599
Repeat,FitnessEvaluateCountReachTarget
72,1678
Repeat,FitnessEvaluateCountReachTarget
73,1679
Repeat,FitnessEvaluateCountReachTarget
74,1359
Repeat,FitnessEvaluateCountReachTarget
75,959
Repeat,FitnessEvaluateCountReachTarget
76,879
Repeat,FitnessEvaluateCountReachTarget
77,1838
Repeat,FitnessEvaluateCountReachTarget
78,1278
Repeat,FitnessEvaluateCountReachTarget
79,1279
Repeat,FitnessEvaluateCountReachTarget
80,1199
Repeat,FitnessEvaluateCountReachTarget
81,1279
Repeat,FitnessEvaluateCountReachTarget
82,1119
Repeat,FitnessEvaluateCountReachTarget
83,1197
Repeat,FitnessEvaluateCountReachTarget
84,1599
Repeat,FitnessEvaluateCountReachTarget
85,1039
Repeat,FitnessEvaluateCountReachTarget
86,1359
Repeat,FitnessEvaluateCountReachTarget
87,879
Repeat,FitnessEvaluateCountReachTarget
88,1359
Repeat,FitnessEvaluateCountReachTarget
89,1436
Repeat,FitnessEvaluateCountReachTarget
90,1279
Repeat,FitnessEvaluateCountReachTarget
91,1599
Repeat,FitnessEvaluateCountReachTarget
92,1279
Repeat,FitnessEvaluateCountReachTarget
93,1438
Repeat,FitnessEvaluateCountReachTarget
94,1439
Repeat,FitnessEvaluateCountReachTarget
95,1439
Repeat,FitnessEvaluateCountReachTarget
96,1356
Repeat,FitnessEvaluateCountReachTarget
97,1595
Repeat,FitnessEvaluateCountReachTarget
98,1279
Repeat,FitnessEvaluateCountReachTarget
99,1277
