Repeat,FitnessEvaluateCountReachTarget
0,2459
Repeat,FitnessEvaluateCountReachTarget
1,14009
Repeat,FitnessEvaluateCountReachTarget
2,2309
Repeat,FitnessEvaluateCountReachTarget
3,1258
Repeat,FitnessEvaluateCountReachTarget
4,2039
Repeat,FitnessEvaluateCountReachTarget
5,1649
Repeat,FitnessEvaluateCountReachTarget
6,2219
Repeat,FitnessEvaluateCountReachTarget
7,15030
Repeat,FitnessEvaluateCountReachTarget
8,13199
Repeat,FitnessEvaluateCountReachTarget
9,1529
Repeat,FitnessEvaluateCountReachTarget
10,1769
Repeat,FitnessEvaluateCountReachTarget
11,2039
Repeat,FitnessEvaluateCountReachTarget
12,5189
Repeat,FitnessEvaluateCountReachTarget
13,2219
Repeat,FitnessEvaluateCountReachTarget
14,1679
Repeat,FitnessEvaluateCountReachTarget
15,7769
Repeat,FitnessEvaluateCountReachTarget
16,2009
Repeat,FitnessEvaluateCountReachTarget
17,2249
Repeat,FitnessEvaluateCountReachTarget
18,3029
Repeat,FitnessEvaluateCountReachTarget
19,11849
Repeat,FitnessEvaluateCountReachTarget
20,2339
Repeat,FitnessEvaluateCountReachTarget
21,1679
Repeat,FitnessEvaluateCountReachTarget
22,2519
Repeat,FitnessEvaluateCountReachTarget
23,15030
Repeat,FitnessEvaluateCountReachTarget
24,1919
Repeat,FitnessEvaluateCountReachTarget
25,2189
Repeat,FitnessEvaluateCountReachTarget
26,2369
Repeat,FitnessEvaluateCountReachTarget
27,4348
Repeat,FitnessEvaluateCountReachTarget
28,1799
Repeat,FitnessEvaluateCountReachTarget
29,1649
Repeat,FitnessEvaluateCountReachTarget
30,1319
Repeat,FitnessEvaluateCountReachTarget
31,1769
Repeat,FitnessEvaluateCountReachTarget
32,2759
Repeat,FitnessEvaluateCountReachTarget
33,1409
Repeat,FitnessEvaluateCountReachTarget
34,15030
Repeat,FitnessEvaluateCountReachTarget
35,1289
Repeat,FitnessEvaluateCountReachTarget
36,15030
Repeat,FitnessEvaluateCountReachTarget
37,1679
Repeat,FitnessEvaluateCountReachTarget
38,3988
Repeat,FitnessEvaluateCountReachTarget
39,15030
Repeat,FitnessEvaluateCountReachTarget
40,2249
Repeat,FitnessEvaluateCountReachTarget
41,2909
Repeat,FitnessEvaluateCountReachTarget
42,15030
Repeat,FitnessEvaluateCountReachTarget
43,2519
Repeat,FitnessEvaluateCountReachTarget
44,15030
Repeat,FitnessEvaluateCountReachTarget
45,2189
Repeat,FitnessEvaluateCountReachTarget
46,2279
Repeat,FitnessEvaluateCountReachTarget
47,15030
Repeat,FitnessEvaluateCountReachTarget
48,9149
Repeat,FitnessEvaluateCountReachTarget
49,2099
Repeat,FitnessEvaluateCountReachTarget
50,1799
Repeat,FitnessEvaluateCountReachTarget
51,2249
Repeat,FitnessEvaluateCountReachTarget
52,1619
Repeat,FitnessEvaluateCountReachTarget
53,9839
Repeat,FitnessEvaluateCountReachTarget
54,1349
Repeat,FitnessEvaluateCountReachTarget
55,2879
Repeat,FitnessEvaluateCountReachTarget
56,1829
Repeat,FitnessEvaluateCountReachTarget
57,1589
Repeat,FitnessEvaluateCountReachTarget
58,6569
Repeat,FitnessEvaluateCountReachTarget
59,2099
Repeat,FitnessEvaluateCountReachTarget
60,15030
Repeat,FitnessEvaluateCountReachTarget
61,1739
Repeat,FitnessEvaluateCountReachTarget
62,15030
Repeat,FitnessEvaluateCountReachTarget
63,2609
Repeat,FitnessEvaluateCountReachTarget
64,2219
Repeat,FitnessEvaluateCountReachTarget
65,2128
Repeat,FitnessEvaluateCountReachTarget
66,1559
Repeat,FitnessEvaluateCountReachTarget
67,2249
Repeat,FitnessEvaluateCountReachTarget
68,1738
Repeat,FitnessEvaluateCountReachTarget
69,15030
Repeat,FitnessEvaluateCountReachTarget
70,2849
Repeat,FitnessEvaluateCountReachTarget
71,1799
Repeat,FitnessEvaluateCountReachTarget
72,2039
Repeat,FitnessEvaluateCountReachTarget
73,2039
Repeat,FitnessEvaluateCountReachTarget
74,1529
Repeat,FitnessEvaluateCountReachTarget
75,15030
Repeat,FitnessEvaluateCountReachTarget
76,8369
Repeat,FitnessEvaluateCountReachTarget
77,10049
Repeat,FitnessEvaluateCountReachTarget
78,1408
Repeat,FitnessEvaluateCountReachTarget
79,1679
Repeat,FitnessEvaluateCountReachTarget
80,2909
Repeat,FitnessEvaluateCountReachTarget
81,2339
Repeat,FitnessEvaluateCountReachTarget
82,15030
Repeat,FitnessEvaluateCountReachTarget
83,1679
Repeat,FitnessEvaluateCountReachTarget
84,2038
Repeat,FitnessEvaluateCountReachTarget
85,2609
Repeat,FitnessEvaluateCountReachTarget
86,1739
Repeat,FitnessEvaluateCountReachTarget
87,1559
Repeat,FitnessEvaluateCountReachTarget
88,1979
Repeat,FitnessEvaluateCountReachTarget
89,1559
Repeat,FitnessEvaluateCountReachTarget
90,1438
Repeat,FitnessEvaluateCountReachTarget
91,2158
Repeat,FitnessEvaluateCountReachTarget
92,3149
Repeat,FitnessEvaluateCountReachTarget
93,1739
Repeat,FitnessEvaluateCountReachTarget
94,15030
Repeat,FitnessEvaluateCountReachTarget
95,1649
Repeat,FitnessEvaluateCountReachTarget
96,15030
Repeat,FitnessEvaluateCountReachTarget
97,15030
Repeat,FitnessEvaluateCountReachTarget
98,1829
Repeat,FitnessEvaluateCountReachTarget
99,2668
