Repeat,FitnessEvaluateCountReachTarget
0,1529
Repeat,FitnessEvaluateCountReachTarget
1,1379
Repeat,FitnessEvaluateCountReachTarget
2,1139
Repeat,FitnessEvaluateCountReachTarget
3,1289
Repeat,FitnessEvaluateCountReachTarget
4,869
Repeat,FitnessEvaluateCountReachTarget
5,1589
Repeat,FitnessEvaluateCountReachTarget
6,1289
Repeat,FitnessEvaluateCountReachTarget
7,1139
Repeat,FitnessEvaluateCountReachTarget
8,1019
Repeat,FitnessEvaluateCountReachTarget
9,1348
Repeat,FitnessEvaluateCountReachTarget
10,809
Repeat,FitnessEvaluateCountReachTarget
11,1139
Repeat,FitnessEvaluateCountReachTarget
12,1319
Repeat,FitnessEvaluateCountReachTarget
13,1079
Repeat,FitnessEvaluateCountReachTarget
14,1319
Repeat,FitnessEvaluateCountReachTarget
15,1589
Repeat,FitnessEvaluateCountReachTarget
16,1409
Repeat,FitnessEvaluateCountReachTarget
17,1139
Repeat,FitnessEvaluateCountReachTarget
18,1048
Repeat,FitnessEvaluateCountReachTarget
19,1289
Repeat,FitnessEvaluateCountReachTarget
20,1139
Repeat,FitnessEvaluateCountReachTarget
21,1408
Repeat,FitnessEvaluateCountReachTarget
22,1588
Repeat,FitnessEvaluateCountReachTarget
23,1259
Repeat,FitnessEvaluateCountReachTarget
24,1108
Repeat,FitnessEvaluateCountReachTarget
25,1019
Repeat,FitnessEvaluateCountReachTarget
26,1168
Repeat,FitnessEvaluateCountReachTarget
27,1289
Repeat,FitnessEvaluateCountReachTarget
28,1168
Repeat,FitnessEvaluateCountReachTarget
29,1289
Repeat,FitnessEvaluateCountReachTarget
30,1739
Repeat,FitnessEvaluateCountReachTarget
31,1196
Repeat,FitnessEvaluateCountReachTarget
32,779
Repeat,FitnessEvaluateCountReachTarget
33,1199
Repeat,FitnessEvaluateCountReachTarget
34,1139
Repeat,FitnessEvaluateCountReachTarget
35,1199
Repeat,FitnessEvaluateCountReachTarget
36,1349
Repeat,FitnessEvaluateCountReachTarget
37,1378
Repeat,FitnessEvaluateCountReachTarget
38,1049
Repeat,FitnessEvaluateCountReachTarget
39,1139
Repeat,FitnessEvaluateCountReachTarget
40,1079
Repeat,FitnessEvaluateCountReachTarget
41,1049
Repeat,FitnessEvaluateCountReachTarget
42,1109
Repeat,FitnessEvaluateCountReachTarget
43,1197
Repeat,FitnessEvaluateCountReachTarget
44,1917
Repeat,FitnessEvaluateCountReachTarget
45,1439
Repeat,FitnessEvaluateCountReachTarget
46,1138
Repeat,FitnessEvaluateCountReachTarget
47,1289
Repeat,FitnessEvaluateCountReachTarget
48,1349
Repeat,FitnessEvaluateCountReachTarget
49,1229
Repeat,FitnessEvaluateCountReachTarget
50,1109
Repeat,FitnessEvaluateCountReachTarget
51,989
Repeat,FitnessEvaluateCountReachTarget
52,1109
Repeat,FitnessEvaluateCountReachTarget
53,1079
Repeat,FitnessEvaluateCountReachTarget
54,1259
Repeat,FitnessEvaluateCountReachTarget
55,1199
Repeat,FitnessEvaluateCountReachTarget
56,929
Repeat,FitnessEvaluateCountReachTarget
57,1019
Repeat,FitnessEvaluateCountReachTarget
58,1199
Repeat,FitnessEvaluateCountReachTarget
59,989
Repeat,FitnessEvaluateCountReachTarget
60,1258
Repeat,FitnessEvaluateCountReachTarget
61,1678
Repeat,FitnessEvaluateCountReachTarget
62,1019
Repeat,FitnessEvaluateCountReachTarget
63,1289
Repeat,FitnessEvaluateCountReachTarget
64,1079
Repeat,FitnessEvaluateCountReachTarget
65,1289
Repeat,FitnessEvaluateCountReachTarget
66,899
Repeat,FitnessEvaluateCountReachTarget
67,1229
Repeat,FitnessEvaluateCountReachTarget
68,1259
Repeat,FitnessEvaluateCountReachTarget
69,1109
Repeat,FitnessEvaluateCountReachTarget
70,929
Repeat,FitnessEvaluateCountReachTarget
71,1619
Repeat,FitnessEvaluateCountReachTarget
72,929
Repeat,FitnessEvaluateCountReachTarget
73,1259
Repeat,FitnessEvaluateCountReachTarget
74,627
Repeat,FitnessEvaluateCountReachTarget
75,1289
Repeat,FitnessEvaluateCountReachTarget
76,899
Repeat,FitnessEvaluateCountReachTarget
77,836
Repeat,FitnessEvaluateCountReachTarget
78,1049
Repeat,FitnessEvaluateCountReachTarget
79,1287
Repeat,FitnessEvaluateCountReachTarget
80,1049
Repeat,FitnessEvaluateCountReachTarget
81,1408
Repeat,FitnessEvaluateCountReachTarget
82,1019
Repeat,FitnessEvaluateCountReachTarget
83,839
Repeat,FitnessEvaluateCountReachTarget
84,1409
Repeat,FitnessEvaluateCountReachTarget
85,1199
Repeat,FitnessEvaluateCountReachTarget
86,1139
Repeat,FitnessEvaluateCountReachTarget
87,1499
Repeat,FitnessEvaluateCountReachTarget
88,1078
Repeat,FitnessEvaluateCountReachTarget
89,1319
Repeat,FitnessEvaluateCountReachTarget
90,1439
Repeat,FitnessEvaluateCountReachTarget
91,1588
Repeat,FitnessEvaluateCountReachTarget
92,1079
Repeat,FitnessEvaluateCountReachTarget
93,1378
Repeat,FitnessEvaluateCountReachTarget
94,839
Repeat,FitnessEvaluateCountReachTarget
95,1199
Repeat,FitnessEvaluateCountReachTarget
96,989
Repeat,FitnessEvaluateCountReachTarget
97,1019
Repeat,FitnessEvaluateCountReachTarget
98,1408
Repeat,FitnessEvaluateCountReachTarget
99,959
