Repeat,FitnessEvaluateCountReachTarget
0,299
Repeat,FitnessEvaluateCountReachTarget
1,267
Repeat,FitnessEvaluateCountReachTarget
2,209
Repeat,FitnessEvaluateCountReachTarget
3,299
Repeat,FitnessEvaluateCountReachTarget
4,179
Repeat,FitnessEvaluateCountReachTarget
5,387
Repeat,FitnessEvaluateCountReachTarget
6,179
Repeat,FitnessEvaluateCountReachTarget
7,209
Repeat,FitnessEvaluateCountReachTarget
8,389
Repeat,FitnessEvaluateCountReachTarget
9,239
Repeat,FitnessEvaluateCountReachTarget
10,239
Repeat,FitnessEvaluateCountReachTarget
11,359
Repeat,FitnessEvaluateCountReachTarget
12,299
Repeat,FitnessEvaluateCountReachTarget
13,327
Repeat,FitnessEvaluateCountReachTarget
14,209
Repeat,FitnessEvaluateCountReachTarget
15,269
Repeat,FitnessEvaluateCountReachTarget
16,209
Repeat,FitnessEvaluateCountReachTarget
17,356
Repeat,FitnessEvaluateCountReachTarget
18,329
Repeat,FitnessEvaluateCountReachTarget
19,419
Repeat,FitnessEvaluateCountReachTarget
20,268
Repeat,FitnessEvaluateCountReachTarget
21,358
Repeat,FitnessEvaluateCountReachTarget
22,388
Repeat,FitnessEvaluateCountReachTarget
23,177
Repeat,FitnessEvaluateCountReachTarget
24,418
Repeat,FitnessEvaluateCountReachTarget
25,236
Repeat,FitnessEvaluateCountReachTarget
26,329
Repeat,FitnessEvaluateCountReachTarget
27,329
Repeat,FitnessEvaluateCountReachTarget
28,449
Repeat,FitnessEvaluateCountReachTarget
29,478
Repeat,FitnessEvaluateCountReachTarget
30,329
Repeat,FitnessEvaluateCountReachTarget
31,238
Repeat,FitnessEvaluateCountReachTarget
32,239
Repeat,FitnessEvaluateCountReachTarget
33,298
Repeat,FitnessEvaluateCountReachTarget
34,329
Repeat,FitnessEvaluateCountReachTarget
35,299
Repeat,FitnessEvaluateCountReachTarget
36,269
Repeat,FitnessEvaluateCountReachTarget
37,268
Repeat,FitnessEvaluateCountReachTarget
38,389
Repeat,FitnessEvaluateCountReachTarget
39,269
Repeat,FitnessEvaluateCountReachTarget
40,209
Repeat,FitnessEvaluateCountReachTarget
41,359
Repeat,FitnessEvaluateCountReachTarget
42,209
Repeat,FitnessEvaluateCountReachTarget
43,326
Repeat,FitnessEvaluateCountReachTarget
44,388
Repeat,FitnessEvaluateCountReachTarget
45,269
Repeat,FitnessEvaluateCountReachTarget
46,328
Repeat,FitnessEvaluateCountReachTarget
47,328
Repeat,FitnessEvaluateCountReachTarget
48,329
Repeat,FitnessEvaluateCountReachTarget
49,269
Repeat,FitnessEvaluateCountReachTarget
50,239
Repeat,FitnessEvaluateCountReachTarget
51,359
Repeat,FitnessEvaluateCountReachTarget
52,298
Repeat,FitnessEvaluateCountReachTarget
53,179
Repeat,FitnessEvaluateCountReachTarget
54,297
Repeat,FitnessEvaluateCountReachTarget
55,356
Repeat,FitnessEvaluateCountReachTarget
56,239
Repeat,FitnessEvaluateCountReachTarget
57,389
Repeat,FitnessEvaluateCountReachTarget
58,329
Repeat,FitnessEvaluateCountReachTarget
59,299
Repeat,FitnessEvaluateCountReachTarget
60,209
Repeat,FitnessEvaluateCountReachTarget
61,238
Repeat,FitnessEvaluateCountReachTarget
62,209
Repeat,FitnessEvaluateCountReachTarget
63,239
Repeat,FitnessEvaluateCountReachTarget
64,209
Repeat,FitnessEvaluateCountReachTarget
65,297
Repeat,FitnessEvaluateCountReachTarget
66,328
Repeat,FitnessEvaluateCountReachTarget
67,329
Repeat,FitnessEvaluateCountReachTarget
68,208
Repeat,FitnessEvaluateCountReachTarget
69,208
Repeat,FitnessEvaluateCountReachTarget
70,268
Repeat,FitnessEvaluateCountReachTarget
71,328
Repeat,FitnessEvaluateCountReachTarget
72,478
Repeat,FitnessEvaluateCountReachTarget
73,358
Repeat,FitnessEvaluateCountReachTarget
74,239
Repeat,FitnessEvaluateCountReachTarget
75,329
Repeat,FitnessEvaluateCountReachTarget
76,269
Repeat,FitnessEvaluateCountReachTarget
77,388
Repeat,FitnessEvaluateCountReachTarget
78,298
Repeat,FitnessEvaluateCountReachTarget
79,358
Repeat,FitnessEvaluateCountReachTarget
80,359
Repeat,FitnessEvaluateCountReachTarget
81,413
Repeat,FitnessEvaluateCountReachTarget
82,418
Repeat,FitnessEvaluateCountReachTarget
83,294
Repeat,FitnessEvaluateCountReachTarget
84,388
Repeat,FitnessEvaluateCountReachTarget
85,389
Repeat,FitnessEvaluateCountReachTarget
86,299
Repeat,FitnessEvaluateCountReachTarget
87,328
Repeat,FitnessEvaluateCountReachTarget
88,268
Repeat,FitnessEvaluateCountReachTarget
89,239
Repeat,FitnessEvaluateCountReachTarget
90,269
Repeat,FitnessEvaluateCountReachTarget
91,389
Repeat,FitnessEvaluateCountReachTarget
92,268
Repeat,FitnessEvaluateCountReachTarget
93,329
Repeat,FitnessEvaluateCountReachTarget
94,268
Repeat,FitnessEvaluateCountReachTarget
95,327
Repeat,FitnessEvaluateCountReachTarget
96,269
Repeat,FitnessEvaluateCountReachTarget
97,419
Repeat,FitnessEvaluateCountReachTarget
98,295
Repeat,FitnessEvaluateCountReachTarget
99,299
